Date,Close,High,Low,Open,Volume,Symbol
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,
2021-03-16,2783.67431640625,2811.3763092419085,2738.8766336454123,2738.8766336454123,4894756,TCS
2021-03-17,2786.26953125,2823.9067472910974,2761.5212758489047,2779.153866985375,3838390,TCS
2021-03-18,2717.842529296875,2816.254073307755,2673.581972614321,2797.9053916510493,3656306,TCS
2021-03-19,2730.104736328125,2773.7835923282114,2689.648175200476,2712.0246159259377,5776626,TCS
2021-03-22,2801.216796875,2809.9884046407697,2701.8654080118977,2728.7619313135033,2821646,TCS
2021-03-23,2812.808349609375,2836.437784928477,2795.130960448019,2810.481112235853,3305973,TCS
2021-03-24,2793.564453125,2821.490207444266,2784.658454901001,2784.703251486434,2207104,TCS
2021-03-25,2743.21826171875,2802.2920824618564,2729.9265646435542,2785.599121700483,3179786,TCS
2021-03-26,2744.96337890625,2790.790295800388,2723.7057555819206,2766.3103769010118,3697370,TCS
2021-03-30,2827.08447265625,2853.8466098214712,2739.681959284328,2759.462821376842,4694008,TCS
2021-03-31,2844.358642578125,2868.659366968351,2803.3201676583076,2823.906490728595,3530069,TCS
2021-04-01,2832.857666015625,2877.6105517346714,2814.9565117280067,2856.218759768947,4285076,TCS
2021-04-05,2899.00244140625,2920.5734204578225,2820.3269530685257,2838.2281079594713,5317862,TCS
2021-04-06,2922.094482421875,2931.3136193408855,2891.036027624751,2931.3136193408855,2291562,TCS
2021-04-07,2928.091552734375,2933.596288476427,2895.332573364828,2916.992925115828,2491268,TCS
2021-04-08,2969.219482421875,2985.0171620032165,2923.3029828226076,2926.838416716797,2578118,TCS
2021-04-09,2973.60546875,3002.3369085688078,2960.85089641809,3002.0235509632025,2911129,TCS
2021-04-12,2905.848876953125,2987.791432148982,2875.9986228793673,2973.6046838218967,3791828,TCS
2021-04-13,2778.3037109375,2876.7152547441287,2750.556924099582,2876.7152547441287,8654596,TCS
2021-04-15,2881.1455078125,2897.5251049711037,2763.445437906345,2828.6504689847543,6062760,TCS
2021-04-16,2859.84326171875,2906.252086635827,2848.610463424965,2890.1410495063396,3224657,TCS
2021-04-19,2829.99365234375,2854.3391795661296,2806.0956539986933,2836.438024473209,2679106,TCS
2021-04-20,2814.553466796875,2886.874165788868,2798.2634619087594,2886.5608082156655,3141893,TCS
2021-04-22,2791.505859375,2817.641499208782,2779.3777844403016,2817.641499208782,1988980,TCS
2021-04-23,2783.1826171875,2791.685667473167,2766.6688421788103,2779.154856525868,1615309,TCS
2021-04-26,2775.39501953125,2822.11698877172,2763.9830336109076,2776.513841680303,2490260,TCS
2021-04-27,2803.320556640625,2806.990380409463,2777.3638848198784,2780.0490577668525,1471417,TCS
2021-04-28,2796.24951171875,2820.3264735454286,2785.4192274431525,2819.3866193694603,1639037,TCS
2021-04-29,2788.327880859375,2826.0098890711797,2779.6010702219046,2815.4929634311516,1621395,TCS
2021-04-30,2717.081787109375,2803.3654794696645,2703.0742216798394,2773.783779134378,3072305,TCS
2021-05-03,2718.289794921875,2734.400830914168,2688.7528956026713,2707.4595110968694,1545831,TCS
2021-05-04,2729.701904296875,2765.7279725476988,2716.4998047515423,2741.382449632493,1990777,TCS
2021-05-05,2770.829345703125,2774.141014613679,2732.073313834491,2747.8264125980572,1939289,TCS
2021-05-06,2784.9267578125,2805.110349178889,2751.406896418604,2779.6012091177536,1791671,TCS
2021-05-07,2804.126220703125,2828.248200876292,2785.24063407717,2804.2158138823747,1912540,TCS
2021-05-10,2815.403564453125,2832.1410971774603,2797.0548844113864,2815.8062966524976,2137153,TCS
2021-05-11,2794.9072265625,2799.8300438510896,2766.757487432701,2797.055277607725,2415625,TCS
2021-05-12,2763.580078125,2792.579858478146,2748.3640981268823,2792.579858478146,1978558,TCS
2021-05-14,2731.267822265625,2773.3355226249514,2720.974661539407,2773.3355226249514,2043935,TCS
2021-05-17,2747.602783203125,2752.48080291423,2717.3945923298925,2734.4006849696384,2890462,TCS
2021-05-18,2764.654052734375,2796.160037623328,2754.987386621192,2774.678654491779,2098538,TCS
2021-05-19,2758.567626953125,2790.7897017650366,2745.2313556195,2760.3577422204535,1986041,TCS
2021-05-20,2738.875732421875,2764.6534300780568,2731.8048661415482,2745.230727574989,2329027,TCS
2021-05-21,2757.224609375,2764.1165083725914,2734.4902364427135,2739.7709882476465,1685566,TCS
2021-05-24,2758.120361328125,2779.154217726376,2749.617312996917,2758.120361328125,1652260,TCS
2021-05-25,2800.84326171875,2813.660222694823,2772.151345685038,2781.0556728434085,1841613,TCS
2021-05-26,2840.8681640625,2846.7144971530197,2791.669066433894,2806.2398834494225,1923753,TCS
2021-05-27,2860.206298828125,2894.160005677421,2843.836608582791,2843.971436138704,5959785,TCS
2021-05-28,2827.46630859375,2876.3955255073206,2820.315618717645,2868.7503216402747,1763701,TCS
2021-05-31,2841.452880859375,2851.5267387707327,2813.9752893482573,2833.22313007897,1652799,TCS
2021-06-01,2835.92138671875,2851.1667812738274,2817.0332328585873,2849.952674564694,1377441,TCS
2021-06-02,2814.739501953125,2841.7225776936307,2801.7426977225477,2833.9875610679856,2240078,TCS
2021-06-03,2825.3525390625,2837.315078410275,2808.622946339891,2837.315078410275,1281706,TCS
2021-06-04,2827.601318359375,2839.3840152670327,2810.7368969775102,2813.4352043986087,1836060,TCS
2021-06-07,2863.084228515625,2869.6051385982905,2818.472340944757,2828.7258220667936,2559821,TCS
2021-06-08,2878.32958984375,2906.0772740595803,2866.6819393328346,2876.3958905733634,2574057,TCS
2021-06-09,2878.41943359375,2896.1832907341222,2865.782316621696,2879.9934462517576,1710925,TCS
2021-06-10,2893.30517578125,2899.781069736346,2871.8985594504197,2887.188968316895,1874324,TCS
